i,Nama Barang,Ukuran,Kategori,Harga,Satuan,Stok,Keterangan 
231,Celana Bahan Ukuran 32,,,"Rp100,000",,,
232,Celana Bahan Ukuran 33,,,"Rp110,000",,,
233,Celana Bahan Ukuran 34,,,"Rp110,000",,,
234,Celana Bahan Ukuran 35,,,"Rp110,000",,,
235,Celana Bahan Ukuran 36,,,"Rp110,000",,,
236,Celana Bahan Ukuran 37,,,"Rp110,000",,,
237,Celana Bahan Ukuran 38,,,"Rp110,000",,,
238,Rok Bahan Ukuran S,,,"Rp100,000",,,
239,Rok Bahan Ukuran M,,,"Rp100,000",,,
240,Rok Bahan Ukuran L,,,"Rp100,000",,,
241,Rok Bahan Ukuran XL,,,"Rp100,000",,,
242,Rok Bahan Ukuran XXL,,,"Rp105,000",,,
243,Rok Bahan Ukuran XXXL,,,"Rp105,000",,,
244,Kaos Lengan Panjang Ukuran M,,,"Rp55,000",,,
245,Kaos Lengan Panjang Ukuran L,,,"Rp55,000",,,
246,Kaos Lengan Panjang Ukuran XL,,,"Rp60,000",,,
247,Kaos Lengan Panjang Ukuran XXL,,,"Rp65,000",,,
248,Jilbab Putih Ukuran M,,,"Rp25,000",,,
249,Jilbab Putih Ukuran L,,,"Rp25,000",,,
250,Jilbab Hitam Ukuran M,,,"Rp25,000",,,
251,Jilbab Hitam Ukuran L,,,"Rp25,000",,,
252,Training Ukuran M,,,"Rp65,000",,,
253,Training Ukuran L,,,"Rp65,000",,,
254,Training Ukuran XL,,,"Rp67,000",,,
255,Training Ukuran XXL,,,"Rp67,000",,,
256,Kaos Kaki Hitam,,,"Rp15,000",,,
257,Kaos Kaki Putih,,,"Rp15,000",,,
258,Paket alat tulis (stick note),,,"Rp17,000",,,
259,Paket alat tulis (pensil),,,"Rp16,000",,,
260,Atasan PDA stok lama,,Produksi,"Rp80,000",1 buah,,
261,Bawahan PDA  stok lama,,Produksi,"Rp80,000",1 buah,,
262,1 set PDA  stok lama,,Produksi,"Rp150,000",1 buah,,
263,Paket 1 Dahsyatnya Wirus,,,"Rp10,000",,20,
264,Paket 2 Dahsyatnya Wirus,,,"Rp15,000",,24,
265,Paket 3 Dahsyatnya Wirus,,,"Rp20,000",,16,
